resolution,dx,profile,index,sample,defect_peak_abs,defect_support_px,visibility_z,visibility_ratio,ideal_visibility_z,ideal_visibility_ratio,signal_retention_mask,relative_delta_mean,relative_delta_mask_mean,corr_ix_vs_ideal,corr_iy_vs_ideal,mask_mean_di,bg_mean_di,bg_std_di
64,3.12,default,8,sample_0008,0.14925335347652435,64,1.3825161809561626,2.9635336642159253,4.603803257181418,37.38575652020291,0.17772427940619134,2.3366596698760986,1.0153695344924927,-0.015753759643362578,0.029616469126489343,0.0360570028424263,0.012166894972324371,0.01728016510605812
64,3.12,default,9,sample_0009,0.23388078808784485,43,1.2331305436947182,2.958937454111232,4.566898183739947,42.90448210268205,0.2921405909118137,3.840106725692749,1.1130656003952026,-0.07771752503954536,-0.03637443846256712,0.04665624722838402,0.015767905861139297,0.025048719719052315
64,3.12,default,10,sample_0010,0.21830163896083832,117,0.8047304046760683,2.1706042234596348,9.078749881340084,57.91454075006267,0.16001327533782303,2.5113797187805176,1.0123131275177002,0.004049889425350019,-0.022599275187539045,0.05220724269747734,0.024051940068602562,0.03498724848031998
64,3.12,default,11,sample_0011,0.33082783222198486,325,0.695189581433263,1.8299043754808966,8.020965957591939,66.82462884062697,0.12665273652262518,1.6721827983856201,1.0209101438522339,-0.002986900388157946,0.01308240958984648,0.11693022400140762,0.06389963626861572,0.07628219574689865
64,3.12,default,12,sample_0012,0.11915162950754166,145,0.6024654089837602,1.749587198771414,6.80639353488545,57.79935041103083,0.08084962602715258,1.8174387216567993,0.99869704246521,0.01663466737795816,0.02740041685033523,0.029178086668252945,0.016677126288414,0.02074967324733734
64,3.12,default,13,sample_0013,0.029531186446547508,4,-0.04102216397412443,0.9114485008863127,23.562942240952843,753.4766062912314,0.017857746795734337,9.486161231994629,1.0013090372085571,-0.008068319155694647,-0.01388598965688866,0.0007332019740715623,0.0008044359856285155,0.0017364762024953961
64,3.12,default,14,sample_0014,0.21703191101551056,118,1.2054555903850184,3.010499538843729,10.532263002097402,69.09453000169079,0.38406717274107866,3.7675375938415527,1.0177897214889526,0.054387415614069845,0.00160201800313226,0.06417389214038849,0.021316692233085632,0.035552699118852615
64,3.12,default,15,sample_0015,0.05553796514868736,2,-0.45936445924912356,0.2099797043815038,19.768682138065607,651.4318971200709,0.004156795547805036,10.761610984802246,1.004079818725586,-0.0023132449749942077,0.004196928411125638,0.00025696944794617593,0.0012237823102623224,0.002104674931615591
64,3.12,lowpass_only,0,sample_0000,0.30165812373161316,10,36.873484389328226,342.6055474370169,46.159053337508404,933.1682904022312,0.391348848623722,1.2773061990737915,1.1667659282684326,-0.0789410078608027,-0.14812495352202767,0.203026682138443,0.0005925960140302777,0.005489963572472334
64,3.12,lowpass_only,1,sample_0001,0.12469366192817688,7,30.860369849781538,420.4781284729687,26.332847625685446,842.3755729905474,1.5587518031564984,2.2675888538360596,1.9480066299438477,-0.14061250318212784,0.6838827273013267,0.13808074593544006,0.00032838984043337405,0.004463729914277792
64,3.12,lowpass_only,2,sample_0002,0.08706062287092209,5,28.44142459289484,401.28898632847944,42.459809033980136,1195.9827937133755,1.0314355069608134,1.5436601638793945,1.016845703125,0.5604778425620562,0.876938168990097,0.07236716896295547,0.00018033679225482047,0.0025380877777934074
64,3.12,lowpass_only,3,sample_0003,0.14414919912815094,214,8.80263562801836,37.62844967973803,11.708993963855395,88.64342848476012,0.5501371309402321,1.357661247253418,1.230821967124939,-0.018315356280155612,-0.06628096494034484,0.0892544686794281,0.002371994312852621,0.009870052337646484
64,3.12,lowpass_only,4,sample_0004,0.2100750356912613,119,4.07279408484443,21.186957173997815,9.641551384854312,73.04368379140259,0.18327694619334386,1.143107295036316,1.0748565196990967,-0.0023268517126527146,-0.07474478414770806,0.09690620005130768,0.004573861137032509,0.02267051488161087
64,3.12,lowpass_only,5,sample_0005,0.29411783814430237,122,11.51422812253825,52.93522900075028,11.852975919960725,74.68380730132057,0.5047112754173179,1.2760059833526611,1.1984217166900635,0.006085121935632784,0.0242384521021888,0.1564825475215912,0.0029561135452240705,0.013333627954125404
64,3.12,lowpass_only,6,sample_0006,0.2556737959384918,111,9.281705429352197,50.478349636129856,12.055863211846424,84.38295421426741,0.5149714646682754,1.285258173942566,1.162673830986023,0.08792071696648589,-0.09479572300636965,0.13931043446063995,0.0027598056476563215,0.014711803756654263
64,3.12,lowpass_only,7,sample_0007,0.22781510651111603,5,44.699606796186096,680.3583748738974,17.422779531097532,748.9636255599795,2.829224518464968,3.3143322467803955,2.6260406970977783,0.5059948897996984,0.018051703855840668,0.2903848886489868,0.00042681166087277234,0.006486814934760332
64,3.12,lowpass_only,8,sample_0008,0.14925335347652435,64,5.13963013869456,26.82965060773112,4.603803257181418,37.38575652020291,0.32664537177675473,1.1770601272583008,1.0942920446395874,0.007712976998468932,0.05227378862740249,0.0662703663110733,0.0024700420908629894,0.012413407675921917
64,3.12,lowpass_only,9,sample_0009,0.23388078808784485,43,4.465262056903081,29.334927364231685,4.566898183739947,42.90448210268205,0.5126880480584937,1.370650053024292,1.1376242637634277,-0.024598391360890124,0.01953293104475027,0.08187872916460037,0.0027911686338484287,0.017711739987134933
64,3.12,lowpass_only,10,sample_0010,0.21830163896083832,117,6.950847472482895,35.71741465778543,9.078749881340084,57.91454075006267,0.36818909905090946,1.1885298490524292,1.0855368375778198,-0.058331573306512945,0.019115889586430998,0.12012839317321777,0.003363300347700715,0.016798684373497963
64,3.12,lowpass_only,11,sample_0011,0.33082783222198486,325,8.42373877000558,26.549545251470498,8.020965957591939,66.82462884062697,0.17439818659461354,1.075791597366333,1.036301851272583,-0.00812235220771925,0.022765487231660674,0.1610104888677597,0.006064529065042734,0.01839396543800831
64,3.12,lowpass_only,12,sample_0012,0.11915162950754166,145,5.409003462914604,24.736701276770347,6.80639353488545,57.79935041103083,0.17767641028347086,1.096243977546692,1.022499442100525,-0.05966494218282932,-0.03151058935176559,0.06412222236394882,0.0025921897031366825,0.011375484056770802
64,3.12,lowpass_only,13,sample_0013,0.029531186446547508,4,34.000995772301756,452.481243382987,23.562942240952843,753.4766062912314,1.057991896130819,1.683882713317871,1.0699771642684937,0.6121591589649565,-0.09749059890982137,0.043438948690891266,9.600165503798053e-05,0.0012747552245855331
64,3.12,lowpass_only,14,sample_0014,0.21703191101551056,118,8.684961782836178,48.0623302627884,10.532263002097402,69.09453000169079,0.6832431735379938,1.3763363361358643,1.2322486639022827,0.021001576238419643,0.012247517303056484,0.11416329443454742,0.0023753175046294928,0.012871441431343555
64,3.12,lowpass_only,15,sample_0015,0.05553796514868736,2,23.318183315697173,412.3617086764608,19.768682138065607,651.4318971200709,0.49548788739170774,1.4475637674331665,0.6006755828857422,-0.1406263134036697,0.28560172449622684,0.030630625784397125,7.428096432704479e-05,0.0013104084646329284
128,1.56,near_identity,0,sample_0000,0.2915171682834625,49,20.01101388527315,157.49803663214496,105.36510604472156,2438.1188909417947,1.9365003203253603,5.429003715515137,2.1097218990325928,0.6322176937373977,-0.19569725818318057,1.2085633277893066,0.007673513609915972,0.06001144275069237
128,1.56,near_identity,1,sample_0001,0.17466963827610016,26,140.84360738920003,2046.6727517779173,141.17195273563692,3990.9597479498707,3.6038429696306316,3.263770580291748,2.7837369441986084,0.820217303518758,0.714759520514739,0.6057090163230896,0.00029594814986921847,0.004298477433621883
128,1.56,near_identity,2,sample_0002,0.11002462357282639,21,64.58600139101704,805.5445161245799,108.54994660430762,4020.1425846500674,2.285330280369399,3.292454957962036,1.8767536878585815,0.44589662147534914,0.9485854978417521,0.27640679478645325,0.000343130377586931,0.004274357575923204
128,1.56,near_identity,3,sample_0003,0.14442802965641022,855,11.412499683235604,37.50377364221899,14.503824631862958,134.81465356962553,2.0482163719935103,2.742884397506714,2.1153390407562256,-0.010584012329766412,0.3290038019707553,0.3710094690322876,0.009892590343952179,0.03164222463965416
128,1.56,near_identity,4,sample_0004,0.21152395009994507,484,10.1132743938388,25.407053341623275,14.339894519535418,166.56776467167373,1.2979477072337309,2.842313289642334,1.6633007526397705,-0.05967609625141695,-0.009782020232743436,0.9509063959121704,0.037426866590976715,0.09032480418682098
128,1.56,near_identity,5,sample_0005,0.29920417070388794,497,10.737854983813186,33.68819419792146,15.008119398337286,100.19992004749021,2.4911004476913314,3.8320119380950928,2.5691027641296387,0.04343373182899587,0.11060266525493377,0.9048504829406738,0.026859572157263756,0.08176594972610474
128,1.56,near_identity,6,sample_0006,0.25862494111061096,444,13.21815147675513,39.3344173420939,15.237922886671068,116.88591679768696,2.3282111590104195,3.5179319381713867,2.3627421855926514,0.02293488517120062,0.24988761360230977,0.7440080642700195,0.01891493797302246,0.054855864495038986
128,1.56,near_identity,7,sample_0007,0.27261388301849365,17,94.4926156473576,1359.6785473509567,113.66481919917011,4226.877070783876,4.22600295895966,4.935515403747559,3.2646186351776123,0.9468438509855949,0.9152015870223731,1.0753329992294312,0.0007908729603514075,0.011371704749763012
128,1.56,near_identity,8,sample_0008,0.14910809695720673,262,13.025096266479522,37.61500078826852,11.816516082676364,129.42883630033927,1.4704503263900124,2.9991838932037354,1.7677687406539917,-0.01885550791846283,-0.007847382092622895,0.7817056775093079,0.020781753584742546,0.05841983109712601
128,1.56,near_identity,9,sample_0009,0.2579042315483093,166,13.789376778244181,46.50556018928961,17.636120169150914,195.548759252501,2.069158536450269,4.453400611877441,2.226999282836914,-0.01490240095224586,-0.016079921167455536,1.1578387022018433,0.024896780028939247,0.08216048777103424
128,1.56,near_identity,10,sample_0010,0.21848389506340027,473,11.152702755970562,30.88973753961796,11.028178070020441,86.90579175239756,1.8922660550387513,3.118293046951294,2.065448522567749,0.05797423327574972,-0.00045333428515954746,0.7992892861366272,0.02587556093931198,0.06934764981269836
128,1.56,near_identity,11,sample_0011,0.33138149976730347,1318,5.498125825758604,12.511967986309257,10.311206155761123,94.95636689674767,0.8903123162377432,2.0802974700927734,1.452292799949646,-0.0011776260298820378,0.00997707161635494,0.9100160002708435,0.07273164391517639,0.1522854119539261
128,1.56,near_identity,12,sample_0012,0.12071223556995392,583,8.888881804231858,23.207964784429652,11.264450624155348,126.03813757531603,0.9822241122831978,2.2659637928009033,1.4838682413101196,0.007574750940177725,-0.0031299803760371473,0.5174932479858398,0.022298088297247887,0.05570949986577034
128,1.56,near_identity,13,sample_0013,0.15744823217391968,8,89.18351221767148,1191.654345604847,113.67715792483116,5791.777933746268,2.9343372518582567,6.694186687469482,3.7727572917938232,0.9763890279236975,-0.8953218632898414,1.3340411186218262,0.0011194866383448243,0.014945830218493938
128,1.56,near_identity,14,sample_0014,0.2170277237892151,479,15.277887078442486,48.56929024355597,12.550531207947222,94.06973856931268,2.8203471973008725,3.451864242553711,2.6611063480377197,0.012337179479144068,0.6120697715880051,0.5447890162467957,0.011216738261282444,0.03492448106408119
128,1.56,near_identity,15,sample_0015,0.0857236236333847,8,89.09856758509316,1082.1226986581905,110.17354114549715,5121.027875170369,3.138526360317754,6.955467700958252,3.7441275119781494,-0.9452545845892869,0.5348582400375388,0.8703049421310425,0.0008042571716941893,0.009758862666785717
128,1.56,weak,0,sample_0000,0.2915171682834625,49,-0.06583734026265001,0.05645453550474919,105.36510604472156,2438.1188909417947,0.000669988762035003,4.476099967956543,0.9995865821838379,0.0001896485878363429,-1.461901754983857e-05,0.00041813772986643016,0.007406627759337425,0.10614781826734543
128,1.56,weak,1,sample_0001,0.17466963827610016,26,1.2357991651967457,26.21694578819245,141.17195273563692,3990.9597479498707,0.6859482601327719,15.506941795349121,1.3934110403060913,0.02310953116887835,-0.009884407863732543,0.11528944224119186,0.004397516138851643,0.08973296731710434
